[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.021129s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id` FROM `xnfy520_yaomai_commodity_category` WHERE publish=1  [ RunTime:0.000230s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ view_template ] --START--
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Run LocationTemplate Behavior [ RunTime:0.000280s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ view_template ] --END-- [ RunTime:0.000322s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | INFO: Tag[ view_parse ] --START--
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [2] file_get_contents(./home/Tpl/default/Index/footer-x.html) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [8] Undefined variable: Cart_counts 4f3137e3c07a2f2fcc320cf4bef95a06.php 第 148 行.
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' 4f3137e3c07a2f2fcc320cf4bef95a06.php 第 491 行.
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [8] Undefined variable: fake_action_name 4f3137e3c07a2f2fcc320cf4bef95a06.php 第 495 行.
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [8] Undefined variable: define_fake_action_value 4f3137e3c07a2f2fcc320cf4bef95a06.php 第 497 行.
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [8] Undefined index: status 4f3137e3c07a2f2fcc320cf4bef95a06.php 第 499 行.
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | NOTIC: [8] Undefined index: userid 4f3137e3c07a2f2fcc320cf4bef95a06.php 第 501 行.
